"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BALEDIG7","blogPost","2024","boiko, artem","Lobbyist Wars and the Development of BIM.","Medium","","","","https://boikoartem.medium.com/lobbyist-wars-and-the-development-of-bim-fba7f319b59e","In the first part, we talked about the emergence of the STEP, IFC formats and the creation of the buildingSMART organization. The article…","2024-11-11","2025-03-16 16:15:45","2025-03-16 16:15:45","2025-03-16 16:15:45","","","","","","","","","","","","","","en","","","","","","","","","/home/dorten/Zotero/storage/XCMKTY4H/lobbyist-wars-and-the-development-of-bim-fba7f319b59e.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FU2WM2JL","videoRecording","2020","Artem Boiko","Most Popular BIM Software 2004 - 2020.  REVIT vs ARCHICAD  vs VECTORWORKS vs ALLPLAN vs TEKLA","","","","","https://www.youtube.com/watch?v=iuiichHnV9g","","2020-12-17","2025-03-16 16:14:21","2025-03-16 16:14:23","2025-03-16 16:14:21","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YI8ZFHEB","webpage","","","Architecture | Speckle Docs","","","","","https://speckle.guide/dev/architecture.html","","","2025-03-16 15:26:34","2025-03-16 15:26:34","2025-03-16 15:26:34","","","","","","","","","","","","","","","","","","","","","","","/home/dorten/Zotero/storage/8W9GB348/architecture.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"65DKVYZQ","webpage","","","Introduction | Speckle Docs","","","","","https://speckle.guide/dev/","","","2025-03-16 15:25:36","2025-03-16 15:25:36","2025-03-16 15:25:36","","","","","","","","","","","","","","","","","","","","","","","/home/dorten/Zotero/storage/IYZUKH7E/dev.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IIWT44GS","thesis","2020","Stefanescu, Dimitrie A.","Alternate Means of Digital Design Communication","","","","","https://discovery.ucl.ac.uk/id/eprint/10110102/","This thesis reconceptualises communication in digital design as an integrated social and technical process. The friction in the communicative processes pertaining to digital design can be traced to the fact that current research and practice emphasise technical concerns at the expense of social aspects of design communication. With the advent of BIM (Building Information Modelling), a code model of communication (machine-to-machine) is inadequately applied to design communication. This imbalance is addressed in this thesis by using inferential models of communication to capture and frame the psychological and social aspects behind the communicative contracts between people. Three critical aspects of the communicative act have been analysed, namely (1) data representation, (2) data classification and (3) data transaction, with the help of a new digital design communication platform, Speckle, which was developed during this research project for this purpose. By virtue of an applied living laboratory context, Speckle facilitated both qualitative and quantitative comparisons against existing methodologies with data from real-world settings. Regarding data representation (1), this research finds that the communicative performance of a low-level composable object model is better than that of a complete and universal one as it enables a more dynamic process of ontological revision. This implies that current practice and research operates at an inappropriate level of abstraction. On data classification (2), this thesis shows that a curatorial object-based data sharing methodology, as opposed to the current file-based approaches, leads to increased relevancy and a reduction in noise (information without intent, or meaning). Finally, on data transaction (3), the analysis shows that an object-based data sharing methodology is technically better suited to enable communicative contracts between stakeholders. It allows for faster and more meaningful change-dependent transactions, as well as allow for the emergence of traceable communicative networks outside of the predefined exchanges of current practices.","2020-09-28","2025-03-16 15:22:46","2025-03-16 15:22:46","2025-03-16 15:22:46","","230","","","","","","","","","","UCL (University College London)","","eng","open","Doctoral","","","discovery.ucl.ac.uk","","Conference Name: UCL (University College London) Meeting Name: UCL (University College London) Publication Title: Doctoral thesis, UCL (University College London).","","/home/dorten/Zotero/storage/NFFFVW59/Stefanescu - 2020 - Alternate Means of Digital Design Communication.pdf; /home/dorten/Zotero/storage/W2I8PE2C/10110102.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ILD49IL6","presentation","2023","UN Environment Report","2023 Global Status Report for Buildings and Construction","","","","","https://unfccc.int/ttclear/misc_/StaticFiles/gnwoerk_static/tn_meetings/00cf22a4049c4ece9f414e190def4202/8dff87ea3e1e4e7ba7d349a83ed04cbd.pdf","","2023","2025-03-15 15:09:20","2025-03-15 16:43:49","2025-03-15","","","","","","","","","","","","","","English","","","","","","","","","/home/dorten/Zotero/storage/GCUTRJAY/2023 Global Status Report for.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"97XDJWNM","videoRecording","2023","DataDrivenConstruction","🏗️📉  Lobbying Wars Over Data in Construction | Techno-Feudalism and the History of BIM's Hidden Past","","","","","https://www.youtube.com/watch?v=S-TNdUgfHxk","","2023-11-07","2025-03-15 15:13:50","2025-03-15 15:13:53","2025-03-15 15:13:50","","","","","","","","","","","","","","","","","","","YouTube","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CIB3U5W6","conferencePaper","2020","University College London; Poinet, Paul; Stefanescu, Dimitrie; Tsakiridis, Georgios; Grimshaw Architects; De Boissieu, Aurelie; Grimshaw Architects; Papadonikolaki, Eleni; Bartlett School of Construction and Project Management","Supporting collaborative design and project management for AEC using Speckle’s interactive data flow diagram","DC I/O 2020","978-1-8381294-0-8","","10.47330/DCIO.2020.VYBA4375","http://wiki.designcomputation.org/home/index.php/DCIO.2020.VYBA4375","Recent advances in architectural geometry and the rising ubiquity of design computation and Visual Programming (VP) amongst architecture practices has led to the design and construction of more complex, larger scale architectural projects. Consequently, the Architecture, Engineering and Construction (AEC) industry has witnessed the emergence of custom technological solutions tailored within some of the most progressive architecture practices to better understand and visualize complex digital design workflows. Although very relevant, such existing solutions have always been developed in isolation to solve particular design problems related to the conception and construction of a specific building project. Based on this observation, the open-source data platform for AEC called Speckle has been developed in order to bring more transparency in the design process, enabling multiple stakeholders working from different software environments to seamlessly communicate through its web interface. The present paper both introduces the platform and describes an interactive data flow diagram – named SpeckleViz – built upon it to support in a user friendly manner transparent collaborative design, project management and version control for AEC. This will be illustrated through two selected case studies.","2020-10-07","2025-02-25 09:01:07","2025-02-25 09:01:07","2025-02-25 09:01:07","","","","","","","","","","","","Design Computation Ltd.","","en","","","","","DOI.org (Crossref)","","","","/home/dorten/Zotero/storage/SLYCDCET/University College London et al. - 2020 - Supporting collaborative design and project management for AEC using Speckle’s interactive data flow.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Design Computation Input/Output 2020","","","","","","","","","","","","","","",""
"GHJZDEAZ","webpage","","","Architecture, Engineering and Construction (AEC) Collection 2024 | Autodesk","","","","","https://www.autodesk.com/dk/collections/architecture-engineering-construction/overview","Autodesk AEC Collection giver designere, ingeniører og byggefagfolk de værktøjer og integrerede arbejdsgange, de skal bruge til deres arbejde – alt er samlet i én pakke.","","2024-11-07 10:53:04","2024-11-07 10:53:04","2024-11-07 10:53:04","","","","","","","","","","","","","","da-DK","","","","","","","","","/home/dorten/Zotero/storage/LGR237K9/overview.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XLQUVM9N","webpage","","","Autodesk Revit | Se priser, og køb den officielle Revit-software","","","","","https://www.autodesk.com/dk/products/revit/overview","Autodesk Revit er 3D-designsoftware med indsigt og automatiseringer drevet af Autodesk AI. Køb et abonnement fra Autodesks officielle onlinebutik eller vores betroede partnere.","","2024-11-07 10:52:43","2024-11-07 10:52:43","2024-11-07 10:52:43","","","","","","","","","","","","","","da-DK","","","","","","","","","/home/dorten/Zotero/storage/XH6WHDHB/overview.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
